"school","class","gender","social","raven","id","english"
"1","1","girl","9",23,"1",39
"1","1","boy","2",22,"3",83
"1","1","boy","9",14,"4",12
"1","1","girl","4",16,"6",19
"1","1","boy","9",17,"7",31
"1","1","girl","9",21,"8",40
"1","1","girl","4",32,"11",50
"1","1","girl","3",25,"13",39
"1","1","girl","2",29,"14",80
"1","1","girl","7",34,"15",37
"1","1","boy","5",27,"16",4
"1","1","boy","4",21,"17",29
"1","2","girl","9",17,"19",46
"1","2","boy","4",22,"20",9
"1","2","girl","9",15,"21",15
"1","2","boy","4",25,"22",42
"1","2","boy","4",21,"23",36
"1","2","boy","3",20,"24",10
"1","2","boy","4",16,"26",17
"1","2","girl","4",34,"27",31
"1","2","boy","3",20,"28",11
"1","2","boy","4",20,"29",11
"1","2","girl","3",30,"30",20
"1","2","boy","4",31,"31",8
"1","2","boy","4",24,"33",10
"1","2","girl","4",14,"35",24
"2","1","girl","2",31,"37",15
"2","1","boy","3",25,"39",58
"2","1","girl","9",19,"40",13
"2","1","girl","9",33,"42",34
"2","1","girl","4",28,"43",41
"2","1","boy","9",26,"44",17
"2","1","boy","9",15,"45",41
"2","1","boy","2",34,"46",88
"2","1","boy","9",25,"48",7
"2","1","girl","9",20,"50",41
"2","1","girl","6",14,"51",11
"3","1","girl","4",35,"61",54
"3","1","girl","5",35,"62",78
"3","1","boy","2",32,"65",60
"3","1","girl","5",29,"66",55
"3","1","boy","4",24,"67",26
"3","1","boy","6",26,"68",24
"3","1","boy","5",21,"69",50
"3","1","girl","4",29,"70",31
"3","1","boy","4",25,"75",27
"3","1","boy","7",30,"77",37
"3","1","girl","7",20,"78",30
"3","1","girl","4",25,"82",54
"3","2","boy","4",20,"83",9
"3","2","boy","4",30,"85",49
"4","1","boy","9",28,"87",67
"4","1","girl","4",23,"88",18
"4","1","girl","4",18,"89",35
"4","1","girl","7",21,"90",21
"4","1","boy","5",28,"91",27
"4","1","girl","4",26,"92",30
"4","1","boy","4",32,"93",67
"4","1","girl","4",23,"94",43
"4","1","boy","7",26,"95",15
"4","1","boy","5",23,"96",25
"4","1","girl","6",26,"97",35
"4","1","boy","7",33,"98",74
"4","1","boy","9",26,"99",37
"4","1","girl","7",26,"100",50
"4","1","girl","5",29,"101",54
"4","1","boy","4",32,"102",37
"4","1","girl","7",17,"103",12
"4","1","girl","9",28,"104",60
"4","1","boy","7",31,"105",53
"4","1","boy","4",32,"107",29
"4","1","boy","4",26,"108",49
"4","1","girl","4",16,"109",56
"4","1","boy","9",26,"110",27
"4","1","girl","4",27,"111",50
"5","1","boy","4",25,"116",13
"5","1","boy","4",17,"119",42
"5","1","girl","2",33,"122",66
"5","1","boy","1",25,"124",52
"5","1","girl","4",23,"125",23
"5","1","girl","2",33,"126",92
"5","1","boy","3",29,"127",32
"5","1","girl","2",30,"128",79
"5","1","girl","2",32,"129",82
"5","1","boy","4",30,"130",64
"5","1","girl","2",34,"132",84
"5","2","boy","1",25,"134",42
"5","2","boy","2",27,"135",34
"5","2","girl","4",24,"136",29
"5","2","girl","4",32,"137",67
"5","2","boy","2",28,"138",87
"5","2","boy","2",28,"139",58
"5","2","girl","9",24,"140",47
"5","2","girl","5",30,"141",63
"5","2","girl","1",32,"142",78
"5","2","girl","1",29,"143",57
"5","2","girl","3",29,"146",44
"5","2","boy","1",22,"148",32
"5","2","boy","9",22,"149",33
"5","2","boy","1",32,"150",39
"5","2","boy","2",27,"151",78
"6","1","boy","4",27,"153",28
"6","1","girl","6",20,"155",27
"6","1","boy","4",24,"156",36
"6","1","boy","7",30,"157",13
"6","1","girl","4",19,"158",42
"6","1","boy","4",31,"159",41
"6","1","boy","4",26,"160",12
"6","1","girl","4",22,"168",53
"6","1","girl","7",12,"171",43
"6","1","girl","9",28,"172",65
"6","2","girl","4",31,"174",26
"6","2","boy","4",28,"175",29
"6","2","boy","4",34,"176",55
"6","2","girl","4",23,"177",37
"6","2","boy","4",27,"182",46
"6","2","boy","9",24,"183",35
"6","2","boy","9",29,"184",16
"6","2","boy","6",29,"188",51
"7","1","girl","7",16,"189",21
"7","1","girl","9",33,"193",30
"7","1","girl","9",32,"194",71
"7","1","boy","6",28,"195",39
"7","1","girl","4",22,"196",67
"7","1","girl","7",23,"197",24
"7","1","boy","9",29,"198",88
"7","2","girl","2",29,"201",72
"7","2","boy","9",20,"202",37
"7","2","girl","9",25,"203",15
"7","2","girl","4",16,"204",26
"8","1","girl","8",16,"208",25
"8","1","boy","4",22,"209",25
"8","1","girl","4",19,"211",24
"8","1","boy","5",29,"212",55
"8","1","girl","4",29,"213",54
"8","1","boy","5",26,"214",62
"8","1","girl","4",27,"215",42
"8","1","boy","7",32,"217",62
"8","1","boy","4",26,"218",65
"8","1","girl","5",28,"219",62
"8","1","boy","2",26,"220",84
"8","2","girl","4",21,"221",15
"8","2","girl","4",33,"222",12
"8","2","girl","7",33,"223",83
"8","2","boy","3",17,"224",13
"8","2","girl","4",27,"227",38
"8","2","boy","9",25,"228",29
"8","2","girl","5",12,"229",23
"8","2","girl","4",27,"230",68
"8","2","girl","9",18,"232",47
"8","2","boy","9",34,"233",40
"8","2","boy","3",22,"234",42
"8","3","girl","4",17,"235",26
"8","3","girl","4",23,"236",45
"8","3","boy","7",27,"238",62
"8","3","girl","9",27,"239",44
"8","3","girl","4",22,"241",29
